"Plot Title: LB_2_C"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Full Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Temp, °C (LGR S/N: 10559462, SEN S/N: 10559462)","Coupler Detached (LGR S/N: 10559462)","Coupler Attached (LGR S/N: 10559462)","Host Connected (LGR S/N: 10559462)","Stopped (LGR S/N: 10559462)","End Of File (LGR S/N: 10559462)"
1,01/20/15 04:20:00 PM,997.96,1094.36,6.56,Logged,,,,
2,01/20/15 04:30:00 PM,993.05,1088.42,6.41,,,,,
3,01/20/15 04:40:00 PM,991.16,1086.07,6.34,,,,,
4,01/20/15 04:50:00 PM,989.96,1084.52,6.27,,,,,
5,01/20/15 05:00:00 PM,988.43,1082.95,6.22,,,,,
6,01/20/15 05:10:00 PM,987.23,1080.99,6.16,,,,,
7,01/20/15 05:20:00 PM,985.65,1079.45,6.08,,,,,
8,01/20/15 05:30:00 PM,984.12,1077.48,6.03,,,,,
9,01/20/15 05:40:00 PM,982.86,1075.94,5.95,,,,,
10,01/20/15 05:50:00 PM,981.58,1073.98,5.89,,,,,
11,01/20/15 06:00:00 PM,981.61,1074.41,5.86,,,,,
12,01/20/15 06:10:00 PM,982.17,1074.83,5.85,,,,,
13,01/20/15 06:20:00 PM,982.57,1075.24,5.85,,,,,
14,01/20/15 06:30:00 PM,982.73,1076.05,5.85,,,,,
15,01/20/15 06:40:00 PM,982.52,1075.27,5.82,,,,,
16,01/20/15 06:50:00 PM,981.77,1074.91,5.78,,,,,
17,01/20/15 07:00:00 PM,980.79,1074.15,5.73,,,,,
18,01/20/15 07:10:00 PM,980.03,1072.96,5.71,,,,,
19,01/20/15 07:20:00 PM,978.73,1071.39,5.66,,,,,
20,01/20/15 07:30:00 PM,977.77,1069.84,5.59,,,,,
21,01/20/15 07:40:00 PM,976.06,1068.24,5.57,,,,,
22,01/20/15 07:50:00 PM,974.67,1067.07,5.53,,,,,
23,01/20/15 08:00:00 PM,973.30,1065.09,5.48,,,,,
24,01/20/15 08:10:00 PM,972.24,1063.92,5.44,,,,,
25,01/20/15 08:20:00 PM,971.39,1062.73,5.41,,,,,
26,01/20/15 08:30:00 PM,970.23,1061.13,5.39,,,,,
27,01/20/15 08:40:00 PM,969.41,1060.37,5.33,,,,,
28,01/20/15 08:50:00 PM,968.41,1059.18,5.31,,,,,
29,01/20/15 09:00:00 PM,967.66,1058.41,5.27,,,,,
30,01/20/15 09:10:00 PM,966.73,1057.63,5.24,,,,,
31,01/20/15 09:20:00 PM,965.67,1056.86,5.21,,,,,
32,01/20/15 09:30:00 PM,965.09,1056.11,5.15,,,,,
33,01/20/15 09:40:00 PM,964.62,1054.90,5.14,,,,,
34,01/20/15 09:50:00 PM,964.08,1054.51,5.13,,,,,
35,01/20/15 10:00:00 PM,963.30,1054.12,5.12,,,,,
36,01/20/15 10:10:00 PM,962.84,1052.91,5.10,,,,,
37,01/20/15 10:20:00 PM,962.78,1053.33,5.09,,,,,
38,01/20/15 10:30:00 PM,962.41,1052.55,5.07,,,,,
39,01/20/15 10:40:00 PM,962.26,1052.56,5.05,,,,,
40,01/20/15 10:50:00 PM,961.88,1052.58,5.04,,,,,
41,01/20/15 11:00:00 PM,961.35,1051.79,5.01,,,,,
42,01/20/15 11:10:00 PM,961.03,1051.79,5.01,,,,,
43,01/20/15 11:20:00 PM,960.73,1051.40,5.00,,,,,
