"Plot Title: LB_2_C"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Full Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Temp, °C (LGR S/N: 10559462, SEN S/N: 10559462)","Coupler Detached (LGR S/N: 10559462)","Coupler Attached (LGR S/N: 10559462)","Host Connected (LGR S/N: 10559462)","Stopped (LGR S/N: 10559462)","End Of File (LGR S/N: 10559462)"
1,12/14/14 10:50:00 AM,1127.32,1151.97,6.76,Logged,,,,
2,12/14/14 11:00:00 AM,1124.92,1148.85,6.65,,,,,
3,12/14/14 11:10:00 AM,1125.21,1149.22,6.67,,,,,
4,12/14/14 11:20:00 AM,1126.05,1150.01,6.70,,,,,
5,12/14/14 11:30:00 AM,1126.75,1150.81,6.71,,,,,
6,12/14/14 11:40:00 AM,1127.67,1151.59,6.74,,,,,
7,12/14/14 11:50:00 AM,1128.28,1152.79,6.76,,,,,
8,12/14/14 12:00:00 PM,1129.20,1153.16,6.79,,,,,
9,12/14/14 12:10:00 PM,1129.36,1153.57,6.79,,,,,
10,12/14/14 12:20:00 PM,1129.34,1153.15,6.80,,,,,
11,12/14/14 12:30:00 PM,1130.41,1154.33,6.84,,,,,
12,12/14/14 12:40:00 PM,1131.75,1155.94,6.85,,,,,
13,12/14/14 12:50:00 PM,1132.27,1156.32,6.88,,,,,
14,12/14/14 01:00:00 PM,1133.48,1157.89,6.93,,,,,
15,12/14/14 01:10:00 PM,1134.17,1158.67,6.95,,,,,
16,12/14/14 01:20:00 PM,1135.17,1159.87,6.98,,,,,
17,12/14/14 01:30:00 PM,1136.04,1160.68,6.98,,,,,
18,12/14/14 01:40:00 PM,1136.44,1160.68,6.98,,,,,
19,12/14/14 01:50:00 PM,1136.60,1161.09,6.98,,,,,
20,12/14/14 02:00:00 PM,1136.68,1161.09,6.98,,,,,
21,12/14/14 02:10:00 PM,1136.44,1161.09,6.98,,,,,
22,12/14/14 02:20:00 PM,1135.98,1160.70,6.97,,,,,
23,12/14/14 02:30:00 PM,1135.36,1159.90,6.95,,,,,
24,12/14/14 02:40:00 PM,1134.90,1159.51,6.94,,,,,
25,12/14/14 02:50:00 PM,1134.82,1159.51,6.94,,,,,
26,12/14/14 03:00:00 PM,1134.58,1158.69,6.94,,,,,
27,12/14/14 03:10:00 PM,1134.66,1159.51,6.94,,,,,
28,12/14/14 03:20:00 PM,1134.66,1158.69,6.94,,,,,
29,12/14/14 03:30:00 PM,1134.56,1159.08,6.95,,,,,
30,12/14/14 03:40:00 PM,1134.66,1158.69,6.94,,,,,
31,12/14/14 03:50:00 PM,1134.56,1159.08,6.95,,,,,
32,12/14/14 04:00:00 PM,1134.36,1158.70,6.93,,,,,
33,12/14/14 04:10:00 PM,1133.89,1158.31,6.92,,,,,
34,12/14/14 04:20:00 PM,1133.58,1157.90,6.92,,,,,
35,12/14/14 04:30:00 PM,1133.50,1157.50,6.92,,,,,
36,12/14/14 04:40:00 PM,1133.27,1157.51,6.90,,,,,
37,12/14/14 04:50:00 PM,1132.99,1157.14,6.88,,,,,
38,12/14/14 05:00:00 PM,1132.19,1156.32,6.88,,,,,
39,12/14/14 05:10:00 PM,1131.81,1155.93,6.86,,,,,
40,12/14/14 05:20:00 PM,1131.56,1155.91,6.88,,,,,
41,12/14/14 05:30:00 PM,1131.33,1155.52,6.86,,,,,
42,12/14/14 05:40:00 PM,1131.43,1155.13,6.85,,,,,
43,12/14/14 05:50:00 PM,1131.05,1155.55,6.84,,,,,
44,12/14/14 06:00:00 PM,1130.97,1155.14,6.84,,,,,
45,12/14/14 06:10:00 PM,1130.98,1155.16,6.83,,,,,
46,12/14/14 06:20:00 PM,1131.00,1155.17,6.81,,,,,
47,12/14/14 06:30:00 PM,1130.93,1155.19,6.80,,,,,
48,12/14/14 06:40:00 PM,1130.69,1155.19,6.80,,,,,
49,12/14/14 06:50:00 PM,1130.63,1155.20,6.79,,,,,
50,12/14/14 07:00:00 PM,1130.61,1154.78,6.80,,,,,
51,12/14/14 07:10:00 PM,1130.47,1155.20,6.79,,,,,
52,12/14/14 07:20:00 PM,1130.17,1154.40,6.77,,,,,
53,12/14/14 07:30:00 PM,1130.23,1154.39,6.79,,,,,
54,12/14/14 07:40:00 PM,1130.42,1154.83,6.76,,,,,
55,12/14/14 07:50:00 PM,1132.06,1156.84,6.79,,,,,
56,12/14/14 08:00:00 PM,1134.43,1158.86,6.80,,,,,
57,12/14/14 08:10:00 PM,1136.37,1160.86,6.84,,,,,
58,12/14/14 08:20:00 PM,1137.52,1162.44,6.88,,,,,
59,12/14/14 08:30:00 PM,1138.39,1163.26,6.88,,,,,
60,12/14/14 08:40:00 PM,1139.08,1164.04,6.90,,,,,
61,12/14/14 08:50:00 PM,1139.47,1164.86,6.90,,,,,
62,12/14/14 09:00:00 PM,1139.78,1164.85,6.92,,,,,
63,12/14/14 09:10:00 PM,1139.86,1165.25,6.92,,,,,
64,12/14/14 09:20:00 PM,1139.84,1164.83,6.93,,,,,
65,12/14/14 09:30:00 PM,1139.60,1164.83,6.93,,,,,
66,12/14/14 09:40:00 PM,1139.30,1164.44,6.92,,,,,
67,12/14/14 09:50:00 PM,1138.35,1163.62,6.92,,,,,
68,12/14/14 10:00:00 PM,1138.19,1163.21,6.92,,,,,
69,12/14/14 10:10:00 PM,1138.35,1163.21,6.92,,,,,
70,12/14/14 10:20:00 PM,1138.27,1163.21,6.92,,,,,
71,12/14/14 10:30:00 PM,1138.12,1163.23,6.90,,,,,
72,12/14/14 10:40:00 PM,1137.80,1162.82,6.90,,,,,
73,12/14/14 10:50:00 PM,1137.58,1162.84,6.89,,,,,
74,12/14/14 11:00:00 PM,1137.18,1162.43,6.89,,,,,
75,12/14/14 11:10:00 PM,1137.12,1162.44,6.88,,,,,
76,12/14/14 11:20:00 PM,1136.80,1161.63,6.88,,,,,
77,12/14/14 11:30:00 PM,1136.18,1161.64,6.86,,,,,
78,12/14/14 11:40:00 PM,1135.78,1160.42,6.86,,,,,
79,12/14/14 11:50:00 PM,1135.47,1160.42,6.86,,,,,
80,12/15/14 12:00:00 AM,1135.24,1160.43,6.85,,,,,
81,12/15/14 12:10:00 AM,1135.00,1160.43,6.85,,,,,
82,12/15/14 12:20:00 AM,1135.40,1160.84,6.85,,,,,
83,12/15/14 12:30:00 AM,1135.96,1161.25,6.85,,,,,
84,12/15/14 12:40:00 AM,1135.08,1160.43,6.85,,,,,
85,12/15/14 12:50:00 AM,1134.70,1159.63,6.84,,,,,
86,12/15/14 01:00:00 AM,1134.86,1159.63,6.84,,,,,
87,12/15/14 01:10:00 AM,1135.16,1160.02,6.85,,,,,
88,12/15/14 01:20:00 AM,1135.24,1160.43,6.85,,,,,
89,12/15/14 01:30:00 AM,1135.40,1160.43,6.85,,,,,
90,12/15/14 01:40:00 AM,1135.24,1160.43,6.85,,,,,
91,12/15/14 01:50:00 AM,1134.92,1160.02,6.85,,,,,
92,12/15/14 02:00:00 AM,1134.77,1160.02,6.85,,,,,
