"Plot Title: LB_2_C"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Full Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Temp, °C (LGR S/N: 10559462, SEN S/N: 10559462)","Coupler Detached (LGR S/N: 10559462)","Coupler Attached (LGR S/N: 10559462)","Host Connected (LGR S/N: 10559462)","Stopped (LGR S/N: 10559462)","End Of File (LGR S/N: 10559462)"
1,01/03/15 10:00:00 AM,18.80,7.59,8.41,Logged,,,,
2,01/03/15 10:10:00 AM,1102.49,1143.17,6.62,,,,,
3,01/03/15 10:20:00 AM,1101.73,1141.89,6.66,,,,,
4,01/03/15 10:30:00 AM,1104.00,1144.64,6.75,,,,,
5,01/03/15 10:40:00 AM,1105.96,1146.57,6.84,,,,,
6,01/03/15 10:50:00 AM,1107.11,1148.16,6.88,,,,,
7,01/03/15 11:00:00 AM,1107.71,1148.53,6.90,,,,,
8,01/03/15 11:10:00 AM,1109.03,1150.06,6.99,,,,,
9,01/03/15 11:20:00 AM,1111.86,1152.80,7.08,,,,,
10,01/03/15 11:30:00 AM,1115.06,1156.33,7.20,,,,,
11,01/03/15 11:40:00 AM,1118.02,1159.86,7.31,,,,,
12,01/03/15 11:50:00 AM,1119.61,1161.82,7.38,,,,,
13,01/03/15 12:00:00 PM,1122.33,1164.54,7.49,,,,,
14,01/03/15 12:10:00 PM,1127.28,1169.62,7.67,,,,,
15,01/03/15 12:20:00 PM,1131.15,1174.43,7.75,,,,,
16,01/03/15 12:30:00 PM,1133.68,1178.00,7.83,,,,,
17,01/03/15 12:40:00 PM,1140.57,1185.08,8.05,,,,,
18,01/03/15 12:50:00 PM,1144.61,1189.39,8.19,,,,,
19,01/03/15 01:00:00 PM,1146.07,1190.98,8.23,,,,,
20,01/03/15 01:10:00 PM,1146.61,1191.37,8.24,,,,,
21,01/03/15 01:20:00 PM,1147.83,1193.27,8.35,,,,,
22,01/03/15 01:30:00 PM,1148.66,1193.87,8.52,,,,,
23,01/03/15 01:40:00 PM,1150.33,1195.34,8.65,,,,,
24,01/03/15 01:50:00 PM,1154.13,1200.15,8.73,,,,,
25,01/03/15 02:00:00 PM,1157.44,1203.71,8.82,,,,,
26,01/03/15 02:10:00 PM,1159.46,1206.52,8.86,,,,,
27,01/03/15 02:20:00 PM,1159.48,1206.13,8.84,,,,,
28,01/03/15 02:30:00 PM,1158.28,1204.98,8.78,,,,,
29,01/03/15 02:40:00 PM,1156.83,1203.01,8.73,,,,,
30,01/03/15 02:50:00 PM,1155.26,1201.47,8.65,,,,,
31,01/03/15 03:00:00 PM,1153.49,1199.49,8.60,,,,,
32,01/03/15 03:10:00 PM,1153.41,1199.49,8.60,,,,,
33,01/03/15 03:20:00 PM,1152.79,1199.10,8.59,,,,,
34,01/03/15 03:30:00 PM,1151.73,1197.84,8.61,,,,,
35,01/03/15 03:40:00 PM,1149.66,1195.72,8.68,,,,,
36,01/03/15 03:50:00 PM,1150.19,1196.42,8.77,,,,,
37,01/03/15 04:00:00 PM,1152.78,1199.17,8.86,,,,,
38,01/03/15 04:10:00 PM,1155.02,1201.63,8.84,,,,,
39,01/03/15 04:20:00 PM,1156.01,1202.48,8.82,,,,,
40,01/03/15 04:30:00 PM,1155.88,1202.92,8.79,,,,,
41,01/03/15 04:40:00 PM,1154.73,1201.75,8.75,,,,,
