"Plot Title: LB_2_L"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10522881, SEN S/N: 10522881)","Temp, °C (LGR S/N: 10522881, SEN S/N: 10522881)","Coupler Detached (LGR S/N: 10522881)","Coupler Attached (LGR S/N: 10522881)","Host Connected (LGR S/N: 10522881)","Stopped (LGR S/N: 10522881)","End Of File (LGR S/N: 10522881)"
1,01/20/15 04:20:00 PM,99.770,11.528,Logged,,,,
2,01/20/15 04:30:00 PM,99.778,6.877,,,,,
3,01/20/15 04:40:00 PM,99.787,6.268,,,,,
4,01/20/15 04:50:00 PM,99.780,6.064,,,,,
5,01/20/15 05:00:00 PM,99.807,5.962,,,,,
6,01/20/15 05:10:00 PM,99.807,5.962,,,,,
7,01/20/15 05:20:00 PM,99.818,5.860,,,,,
8,01/20/15 05:30:00 PM,99.815,5.757,,,,,
9,01/20/15 05:40:00 PM,99.815,5.757,,,,,
10,01/20/15 05:50:00 PM,99.826,5.655,,,,,
11,01/20/15 06:00:00 PM,99.838,5.552,,,,,
12,01/20/15 06:10:00 PM,99.868,5.552,,,,,
13,01/20/15 06:20:00 PM,99.868,5.552,,,,,
14,01/20/15 06:30:00 PM,99.884,5.552,,,,,
15,01/20/15 06:40:00 PM,99.899,5.552,,,,,
16,01/20/15 06:50:00 PM,99.899,5.552,,,,,
17,01/20/15 07:00:00 PM,99.926,5.450,,,,,
18,01/20/15 07:10:00 PM,99.926,5.450,,,,,
19,01/20/15 07:20:00 PM,99.952,5.347,,,,,
20,01/20/15 07:30:00 PM,99.952,5.347,,,,,
21,01/20/15 07:40:00 PM,99.983,5.347,,,,,
22,01/20/15 07:50:00 PM,99.964,5.244,,,,,
23,01/20/15 08:00:00 PM,99.979,5.244,,,,,
24,01/20/15 08:10:00 PM,99.975,5.141,,,,,
25,01/20/15 08:20:00 PM,99.975,5.141,,,,,
26,01/20/15 08:30:00 PM,99.975,5.141,,,,,
27,01/20/15 08:40:00 PM,99.987,5.037,,,,,
28,01/20/15 08:50:00 PM,99.987,5.037,,,,,
29,01/20/15 09:00:00 PM,99.987,5.037,,,,,
30,01/20/15 09:10:00 PM,99.983,4.934,,,,,
31,01/20/15 09:20:00 PM,99.998,4.934,,,,,
32,01/20/15 09:30:00 PM,99.998,4.934,,,,,
33,01/20/15 09:40:00 PM,100.010,4.831,,,,,
34,01/20/15 09:50:00 PM,99.995,4.831,,,,,
35,01/20/15 10:00:00 PM,100.010,4.831,,,,,
36,01/20/15 10:10:00 PM,100.010,4.831,,,,,
37,01/20/15 10:20:00 PM,100.010,4.831,,,,,
38,01/20/15 10:30:00 PM,100.010,4.831,,,,,
39,01/20/15 10:40:00 PM,100.006,4.727,,,,,
40,01/20/15 10:50:00 PM,100.006,4.727,,,,,
41,01/20/15 11:00:00 PM,100.021,4.727,,,,,
42,01/20/15 11:10:00 PM,100.021,4.727,,,,,
43,01/20/15 11:20:00 PM,100.036,4.727,,,,,
44,01/20/15 11:30:00 PM,100.036,4.727,,,,,
