"Plot Title: LB_2_L"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10522881, SEN S/N: 10522881)","Temp, °C (LGR S/N: 10522881, SEN S/N: 10522881)","Coupler Detached (LGR S/N: 10522881)","Coupler Attached (LGR S/N: 10522881)","Host Connected (LGR S/N: 10522881)","Stopped (LGR S/N: 10522881)","End Of File (LGR S/N: 10522881)"
1,01/09/15 10:50:00 AM,100.914,2.517,Logged,,,,
2,01/09/15 11:00:00 AM,100.906,2.730,,,,,
3,01/09/15 11:10:00 AM,100.880,2.837,,,,,
4,01/09/15 11:20:00 AM,100.899,2.943,,,,,
5,01/09/15 11:30:00 AM,100.872,3.049,,,,,
6,01/09/15 11:40:00 AM,100.842,3.049,,,,,
7,01/09/15 11:50:00 AM,100.846,3.155,,,,,
8,01/09/15 12:00:00 PM,100.846,3.155,,,,,
9,01/09/15 12:10:00 PM,100.831,3.155,,,,,
10,01/09/15 12:20:00 PM,100.831,3.155,,,,,
11,01/09/15 12:30:00 PM,100.816,3.155,,,,,
12,01/09/15 12:40:00 PM,100.819,3.261,,,,,
13,01/09/15 12:50:00 PM,100.778,3.367,,,,,
14,01/09/15 01:00:00 PM,100.766,3.472,,,,,
15,01/09/15 01:10:00 PM,100.755,3.578,,,,,
16,01/09/15 01:20:00 PM,100.748,3.788,,,,,
17,01/09/15 01:30:00 PM,100.767,3.893,,,,,
18,01/09/15 01:40:00 PM,100.740,3.998,,,,,
19,01/09/15 01:50:00 PM,100.740,3.998,,,,,
20,01/09/15 02:00:00 PM,100.710,3.998,,,,,
21,01/09/15 02:10:00 PM,100.740,3.998,,,,,
22,01/09/15 02:20:00 PM,100.782,3.893,,,,,
23,01/09/15 02:30:00 PM,100.763,3.788,,,,,
24,01/09/15 02:40:00 PM,100.770,3.578,,,,,
25,01/09/15 02:50:00 PM,100.782,3.472,,,,,
26,01/09/15 03:00:00 PM,100.778,3.367,,,,,
27,01/09/15 03:10:00 PM,100.808,3.367,,,,,
28,01/09/15 03:20:00 PM,100.774,3.261,,,,,
29,01/09/15 03:30:00 PM,100.804,3.261,,,,,
30,01/09/15 03:40:00 PM,100.800,3.155,,,,,
31,01/09/15 03:50:00 PM,100.796,3.049,,,,,
32,01/09/15 04:00:00 PM,100.827,3.049,,,,,
