"Plot Title: LB_2_L"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10522881, SEN S/N: 10522881)","Temp, °C (LGR S/N: 10522881, SEN S/N: 10522881)","Coupler Detached (LGR S/N: 10522881)","Coupler Attached (LGR S/N: 10522881)","Host Connected (LGR S/N: 10522881)","Stopped (LGR S/N: 10522881)","End Of File (LGR S/N: 10522881)"
1,01/03/15 10:10:00 AM,100.538,7.280,Logged,,,,
2,01/03/15 10:20:00 AM,100.517,6.674,,,,,
3,01/03/15 10:30:00 AM,100.495,6.471,,,,,
4,01/03/15 10:40:00 AM,100.479,6.471,,,,,
5,01/03/15 10:50:00 AM,100.452,6.573,,,,,
6,01/03/15 11:00:00 AM,100.437,6.573,,,,,
7,01/03/15 11:10:00 AM,100.422,6.573,,,,,
8,01/03/15 11:20:00 AM,100.410,6.674,,,,,
9,01/03/15 11:30:00 AM,100.368,6.775,,,,,
10,01/03/15 11:40:00 AM,100.357,6.877,,,,,
11,01/03/15 11:50:00 AM,100.315,6.978,,,,,
12,01/03/15 12:00:00 PM,100.257,7.079,,,,,
13,01/03/15 12:10:00 PM,100.261,7.179,,,,,
14,01/03/15 12:20:00 PM,100.234,7.280,,,,,
15,01/03/15 12:30:00 PM,100.207,7.381,,,,,
16,01/03/15 12:40:00 PM,100.195,7.481,,,,,
17,01/03/15 12:50:00 PM,100.187,7.682,,,,,
18,01/03/15 01:00:00 PM,100.160,7.782,,,,,
19,01/03/15 01:10:00 PM,100.164,7.882,,,,,
20,01/03/15 01:20:00 PM,100.148,7.882,,,,,
21,01/03/15 01:30:00 PM,100.155,8.082,,,,,
22,01/03/15 01:40:00 PM,100.113,8.182,,,,,
23,01/03/15 01:50:00 PM,100.132,8.282,,,,,
24,01/03/15 02:00:00 PM,100.090,8.382,,,,,
25,01/03/15 02:10:00 PM,100.078,8.481,,,,,
26,01/03/15 02:20:00 PM,100.063,8.481,,,,,
27,01/03/15 02:30:00 PM,100.032,8.481,,,,,
28,01/03/15 02:40:00 PM,100.032,8.481,,,,,
29,01/03/15 02:50:00 PM,99.998,8.382,,,,,
30,01/03/15 03:00:00 PM,99.998,8.382,,,,,
31,01/03/15 03:10:00 PM,99.980,8.282,,,,,
32,01/03/15 03:20:00 PM,99.980,8.282,,,,,
33,01/03/15 03:30:00 PM,99.980,8.282,,,,,
34,01/03/15 03:40:00 PM,99.980,8.282,,,,,
35,01/03/15 03:50:00 PM,99.907,8.382,,,,,
36,01/03/15 04:00:00 PM,99.910,8.481,,,,,
37,01/03/15 04:10:00 PM,99.926,8.481,,,,,
38,01/03/15 04:20:00 PM,99.910,8.481,,,,,
39,01/03/15 04:30:00 PM,99.926,8.481,,,,,
40,01/03/15 04:40:00 PM,99.941,8.481,,,,,
41,01/03/15 04:50:00 PM,99.956,8.481,,,,,
42,01/03/15 05:00:00 PM,99.953,8.382,,,,,
43,01/03/15 05:10:00 PM,99.953,8.382,,,,,
